"region","year","interest","tb","debt"
"Emerging and Developing Europe",2011,3.12968308349203,1.09963199099901,42.3622505586549
"Emerging and Developing Europe",2012,2.98153518709162,1.65202928012985,44.9252280922493
"Emerging and Developing Europe",2013,2.93279373019106,1.25252406030517,46.4865907654656
"Emerging and Developing Europe",2014,3.04704589135217,2.20712887105658,45.1926084367147
"Emerging and Developing Europe",2015,2.72724949587875,3.06442785457765,52.9409160230236
"Emerging and Developing Europe",2016,2.56873280180006,1.70752200200996,53.7202169447865
"Emerging and Developing Europe",2017,2.07107311282677,1.4327593532866,50.7780174803477
"Emerging and Developing Europe",2018,2.48458181430502,3.77659730873898,45.7192780107016
"Emerging and Developing Europe",2019,2.46394127799855,3.62831371442445,45.6618248988585
"Emerging and Developing Europe",2020,2.13443677555755,1.68245316779973,50.9391582984941
"Emerging and Developing Europe",2021,2.00496339258219,3.80815694445921,44.3424324359442
"Emerging and Developing Europe",2022,2.22968286332765,4.07607621426084,37.934906855163
"Emerging and Developing Europe",2023,3.27848454961195,0.76166906578451,37.3038183486
"Emerging and Developing Europe",2024,3.66645412754404,1.07417694371716,35.1132884461114
"Latin America and the Caribbean (LAC)",1980,NA,-1.20049334092436,25.7505935721922
"Latin America and the Caribbean (LAC)",1981,NA,-1.81507137743715,29.5644713016381
"Latin America and the Caribbean (LAC)",1982,NA,-0.027776027487979,41.4395183431085
"Latin America and the Caribbean (LAC)",1983,NA,4.53375409499685,47.6453148990667
"Latin America and the Caribbean (LAC)",1984,NA,5.3904361349175,47.6151350354621
"Latin America and the Caribbean (LAC)",1985,NA,4.16193810107546,45.3620038165527
"Latin America and the Caribbean (LAC)",1986,NA,1.67954252096077,48.1170100440601
"Latin America and the Caribbean (LAC)",1987,NA,2.25630803227385,50.2052883233925
"Latin America and the Caribbean (LAC)",1988,NA,1.92202935598691,43.2389446001422
"Latin America and the Caribbean (LAC)",1989,NA,2.10398175133348,38.3101590690601
"Latin America and the Caribbean (LAC)",1990,NA,1.79116118585586,36.8322354756394
"Latin America and the Caribbean (LAC)",1991,NA,-0.161420373422279,35.5107515251157
"Latin America and the Caribbean (LAC)",1992,NA,-1.86608745195036,33.7710451481798
"Latin America and the Caribbean (LAC)",1993,NA,-2.21096187012538,32.3364298242101
"Latin America and the Caribbean (LAC)",1994,NA,-2.26513529079553,31.1758193215051
"Latin America and the Caribbean (LAC)",1995,NA,-0.668238542207259,32.1890594538603
"Latin America and the Caribbean (LAC)",1996,NA,-0.595092410984977,31.081653545238
"Latin America and the Caribbean (LAC)",1997,NA,-1.63038563683852,29.7750268870306
"Latin America and the Caribbean (LAC)",1998,NA,-2.54462822918559,33.1048071332159
"Latin America and the Caribbean (LAC)",1999,NA,-1.26498621123422,38.1928008128115
"Latin America and the Caribbean (LAC)",2000,NA,-0.783427285320704,35.3747040634069
"Latin America and the Caribbean (LAC)",2001,NA,-1.16317672885645,36.5879817149089
"Latin America and the Caribbean (LAC)",2002,NA,0.353342644895234,41.234637581389
"Latin America and the Caribbean (LAC)",2003,NA,1.49405136451268,42.2544703276307
"Latin America and the Caribbean (LAC)",2004,5.59436169267671,1.92888959418401,37.0086320231356
"Latin America and the Caribbean (LAC)",2005,6.84523508786112,2.25685204836132,28.6046169649054
"Latin America and the Caribbean (LAC)",2006,5.7065724093205,2.41217718551308,26.2559631634842
"Latin America and the Caribbean (LAC)",2007,5.22499414490566,1.01476934840743,25.3960119850312
"Latin America and the Caribbean (LAC)",2008,4.99268764765327,0.0266573551974243,23.2196057033344
"Latin America and the Caribbean (LAC)",2009,4.14241073623883,0.27671446675405,27.013413538745
"Latin America and the Caribbean (LAC)",2010,3.40492423931711,-0.288932635625436,25.9934506535003
"Latin America and the Caribbean (LAC)",2011,3.39187681114334,-0.149155351577834,25.3649051090577
"Latin America and the Caribbean (LAC)",2012,3.33536041004866,-0.719808139277459,28.9067533890526
"Latin America and the Caribbean (LAC)",2013,3.22501905499808,-1.42527577212439,31.1069192782979
"Latin America and the Caribbean (LAC)",2014,3.11029761338785,-1.75325075593034,34.6674780027814
"Latin America and the Caribbean (LAC)",2015,3.25444937212387,-2.37537163514796,41.0335396708483
"Latin America and the Caribbean (LAC)",2016,3.35985598760409,-1.04187534735237,43.5050559964328
"Latin America and the Caribbean (LAC)",2017,3.63274797062627,-0.541309599971534,41.0903493413948
"Latin America and the Caribbean (LAC)",2018,3.98511879510576,-1.02283391086523,43.4602823366493
"Latin America and the Caribbean (LAC)",2019,4.10975495212248,-0.640325246019449,46.1986528904276
"Latin America and the Caribbean (LAC)",2020,3.5341495159055,0.517817395933537,55.9078566751128
"Latin America and the Caribbean (LAC)",2021,3.04994281357225,-0.833442346206193,49.5800863070488
"Latin America and the Caribbean (LAC)",2022,3.38845570959874,-1.52503476862011,44.0188778964202
"Latin America and the Caribbean (LAC)",2023,4.20651539978337,-0.34160052150166,40.8258429955868
"Latin America and the Caribbean (LAC)",2024,4.59690145284961,-0.130507990185801,39.7632776764682
"Middle East and Central Asia",1980,NA,11.9637842461109,19.0566689390419
"Middle East and Central Asia",1981,NA,9.18813284862359,18.6798054224193
"Middle East and Central Asia",1982,NA,2.49044860985524,20.3315493210163
"Middle East and Central Asia",1983,NA,-3.51161311505573,20.5730500863667
"Middle East and Central Asia",1984,NA,-3.02319736100552,20.3196642869298
"Middle East and Central Asia",1985,NA,-2.23703665743737,20.5426946630352
"Middle East and Central Asia",1986,NA,-4.42464452184414,21.893330780616
"Middle East and Central Asia",1987,NA,-1.99395188901679,19.5845532577998
"Middle East and Central Asia",1988,NA,-2.0883848076617,19.905656403007
"Middle East and Central Asia",1989,NA,-1.23137645053699,18.0805409901571
"Middle East and Central Asia",1990,5.30081927911776,0.145723797479075,15.3294404413897
"Middle East and Central Asia",1991,5.66796665088241,-4.42506985625314,21.5415137546332
"Middle East and Central Asia",1993,4.42333138109802,-3.13353174881286,35.8993407435441
"Middle East and Central Asia",1994,3.78137226834622,-0.460928787521437,36.6145755990182
"Middle East and Central Asia",1995,4.39032861856704,-0.715023238255243,32.3904276888999
"Middle East and Central Asia",1996,4.49964288548528,0.912699055549258,28.5787879278783
"Middle East and Central Asia",1997,4.47441917898766,0.125695031540612,27.9783727320023
"Middle East and Central Asia",1998,3.96813869504651,-3.80032371968662,30.588582166337
"Middle East and Central Asia",1999,3.67624569899325,0.406581641109721,28.1220461682503
"Middle East and Central Asia",2000,4.45427391581112,5.04526927342015,22.8141200512682
"Middle East and Central Asia",2001,5.41054761438548,3.56342084666935,23.839124420593
"Middle East and Central Asia",2002,3.65631832630038,4.15638802799702,30.9124023332115
"Middle East and Central Asia",2003,3.11966263805976,5.19269699081871,41.005306004022
"Middle East and Central Asia",2004,2.80107795896979,7.34054225437312,35.2954837166549
"Middle East and Central Asia",2005,2.57045948864587,11.7425332879288,30.1029901187863
"Middle East and Central Asia",2006,3.75383683951839,12.0161152428141,29.5118549243902
"Middle East and Central Asia",2007,3.81020045673687,9.34647620237392,31.5598628375208
"Middle East and Central Asia",2008,3.12091649723324,10.8697062360776,27.501819564109
"Middle East and Central Asia",2009,2.65598540054176,2.52323423930121,31.5509082467164
"Middle East and Central Asia",2010,2.38831206865112,7.22491703616089,27.7270819097464
"Middle East and Central Asia",2011,2.31602459037584,13.1729946839684,25.0333157996103
"Middle East and Central Asia",2012,2.45207741416537,11.7741260464695,24.4106547965157
"Middle East and Central Asia",2013,2.33529625918864,10.1335266232561,24.8536484895607
"Middle East and Central Asia",2014,2.4277795124428,6.34180410879116,25.5441297556845
"Middle East and Central Asia",2015,2.50486746497334,-2.15345616306968,31.170956663526
"Middle East and Central Asia",2016,2.96405670566377,-2.5129867869746,35.7240857175158
"Middle East and Central Asia",2017,2.91631471536645,-0.0497906825909523,38.2528449478836
"Middle East and Central Asia",2018,3.28751252584046,4.23704666036639,39.7143775798479
"Middle East and Central Asia",2019,3.34224621762201,2.19600260593227,44.7737345272772
"Middle East and Central Asia",2020,2.49650722016902,-1.8124941442563,54.346172370746
"Middle East and Central Asia",2021,1.97670588621662,4.16096826394785,49.7058195845489
"Middle East and Central Asia",2022,2.79658456664123,8.90857962537095,41.1780549632718
"Middle East and Central Asia",2023,4.49166527357646,4.83429509681027,43.1654122320028
"Middle East and Central Asia",2024,4.76460247913222,3.07432657442416,44.8387162977431
"Sub-Saharan Africa (SSA)",1985,4.38886267107126,2.72381290509735,38.5334447508908
"Sub-Saharan Africa (SSA)",1986,4.07701815916148,0.814002675233512,37.9216255663911
"Sub-Saharan Africa (SSA)",1987,3.97272244092715,2.36087038895243,38.9468181403541
"Sub-Saharan Africa (SSA)",1988,4.22607752778531,0.609007463995479,35.9460565548691
"Sub-Saharan Africa (SSA)",1989,4.28973984803502,0.982534141867102,37.9758204239706
"Sub-Saharan Africa (SSA)",1990,2.5622796370152,1.34590042209899,38.5775732318334
"Sub-Saharan Africa (SSA)",1991,4.91555639477733,-0.153098875439194,39.6649447632475
"Sub-Saharan Africa (SSA)",1992,7.62202384328316,-0.268571530969724,39.4945748102752
"Sub-Saharan Africa (SSA)",1993,5.01801231273943,-0.446955187864709,43.2032760267859
"Sub-Saharan Africa (SSA)",1994,3.78388901923394,-1.12378839798599,45.2503845728136
"Sub-Saharan Africa (SSA)",1995,3.19026053794393,-1.53161540314087,39.209498100308
"Sub-Saharan Africa (SSA)",1996,4.06547723758645,0.0322220414558666,34.1196669757245
"Sub-Saharan Africa (SSA)",1997,3.84760378869987,-0.876302366620736,32.0620905552735
"Sub-Saharan Africa (SSA)",1998,3.47566557327027,-2.15474849877733,31.1600640600905
"Sub-Saharan Africa (SSA)",1999,3.26162650231417,-1.02427345616994,46.4080077562497
"Sub-Saharan Africa (SSA)",2000,2.55504002249599,1.80455458923807,44.6664616610651
"Sub-Saharan Africa (SSA)",2001,2.84331123097882,0.343079764360146,44.6931604229295
"Sub-Saharan Africa (SSA)",2002,3.10343296614392,0.0709426947531192,41.6836654959409
"Sub-Saharan Africa (SSA)",2003,2.68484766662166,0.35311810574993,36.8041155153338
"Sub-Saharan Africa (SSA)",2004,2.16949552694373,1.26252224456775,31.9296035149782
"Sub-Saharan Africa (SSA)",2005,2.59016760161063,2.29302805036987,26.3901439982562
"Sub-Saharan Africa (SSA)",2006,4.60470239905095,2.0633243317287,19.6294665570819
"Sub-Saharan Africa (SSA)",2007,2.38656003622069,1.42926873270213,19.3645933530658
"Sub-Saharan Africa (SSA)",2008,2.52412645590682,0.846273750210421,17.5186609446814
"Sub-Saharan Africa (SSA)",2009,1.85530978584232,-1.98058432953144,20.3646591817497
"Sub-Saharan Africa (SSA)",2010,2.05692130860682,-0.148621129751703,18.711175538567
"Sub-Saharan Africa (SSA)",2011,2.03178447101559,0.563363999699209,18.5384298536342
"Sub-Saharan Africa (SSA)",2012,2.16219961307446,-0.741779315481398,19.9073558323281
"Sub-Saharan Africa (SSA)",2013,2.29461501400382,-1.06970130590299,18.9399553367742
"Sub-Saharan Africa (SSA)",2014,2.48369808766908,-3.03134023193764,20.8498850418002
"Sub-Saharan Africa (SSA)",2015,2.98488772756586,-5.48695181979307,25.7029945798877
"Sub-Saharan Africa (SSA)",2016,3.52962765438895,-3.86367570551688,30.5940166741523
"Sub-Saharan Africa (SSA)",2017,2.55375876659132,-2.13794736253998,33.4034568709819
"Sub-Saharan Africa (SSA)",2018,2.62209462142268,-2.06881376703192,33.3530450532497
"Sub-Saharan Africa (SSA)",2019,2.5820835309189,-3.2263356618263,35.013882734755
"Sub-Saharan Africa (SSA)",2020,2.33854886455493,-3.56361759574,39.0116570733481
"Sub-Saharan Africa (SSA)",2021,2.55552596537949,-1.19458899771805,35.9501637862655
"Sub-Saharan Africa (SSA)",2022,2.22632030451377,-1.79289684755286,34.9208356597178
"Sub-Saharan Africa (SSA)",2023,2.62965677475968,-2.77682467130553,38.2857063775628
"Sub-Saharan Africa (SSA)",2024,2.90546094840627,-1.7827846892875,42.5725070031129
